,GeneName,Slope,P-value,FDR
1155,CAP1,0.17262337877822187,0.007220614923245574,0.09387659201948616
1156,PPT1,0.2407915381397984,0.0020290871512622212,0.04437977794940191
1157,RP11-115D7.3,0.02253850255860415,0.6175717734360322,0.8854289533161717
1158,RLF,-0.08793439436815857,0.3734873590440061,0.7505389919827631
1159,RNU6-1237P,0.019991047850440594,0.3253284343542612,0.7117842476530242
1160,TMCO2,-0.058621852151554805,0.4380981239374755,0.800266506990466
1161,RP1-39G22.7,0.2551317586456419,7.784952273214034e-05,0.006724622064862349
1162,ZMPSTE24,0.26173525987202745,0.0025799226629735273,0.050882636566853615
1163,RP1-39G22.4,0.06240760951796869,0.05230309504393739,0.29961495956334
1164,COL9A2,0.09504702162803107,0.39843142164347123,0.770471048505557
1165,RP1-228H13.1,0.04418912951400197,0.5250365405615751,0.8318011459719078
1166,SMAP2,0.22964555305835713,0.008182481740016024,0.1012920732768605
1167,RP1-228H13.2,0.33736575677817354,7.921043805446994e-06,0.0016317948053847634
1168,ZFP69B,0.14453636308668733,0.034153110722976415,0.23580202612732118
1169,RP1-228H13.5,0.24521316072326033,0.0006394916058730798,0.022248087371215478
1170,RP11-656D10.7,0.3198031772616732,0.0037374268831445586,0.06356187177714259
1171,ZFP69,0.1781924713731047,0.0010740020487347893,0.030409877639020467
1172,RP11-656D10.3,0.22178267835077664,0.011572790898974982,0.12500629219565537
1173,EXO5,0.13287078205162173,0.0053423340058884735,0.07806442667276862
1174,RP11-656D10.5,0.0037500086579670177,0.1603314696236162,0.5212801851999581
1175,RP11-656D10.6,0.15157089027138845,0.020153042112119855,0.17244433777191961
1176,ZNF684,0.1493737755870412,0.03154049167251638,0.22505012696196763
1177,RP1-63P18.2,0.009003653591734783,0.4651801436464522,0.800266506990466
1178,GTF2F2P2,0.004561324274410461,0.8193060782864793,0.9829924434393951
1179,RIMS3,0.13578159835168424,0.030197878441811342,0.2194254784454212
1180,RP4-739H11.3,-0.025594091990455,0.2999617138008634,0.6945249758171488
1181,NFYC-AS1,0.19450932269261134,0.021314328624024294,0.17869732439592942
1182,NFYC,0.09849002736130806,0.025301363418644154,0.19755697739839004
1183,MIR30E,0.006252112189820002,0.3411821274217649,0.7243171184215045
1184,MIR30C1,0.0053878802141803465,0.3943021210553005,0.7669412973474531
1185,KCNQ4,0.05320906534598535,0.4413719701663472,0.800266506990466
1186,RN7SL326P,-0.017358983200491254,0.2958129488660713,0.690571755591044
1187,CITED4,0.16205091035808816,0.03672115562006181,0.24534100203284961
1188,RP5-1066H13.4,0.001221911809092009,0.9346978592089712,1.0
1189,RP11-348A7.1,0.029888633806604115,0.1871452525074764,0.5620328762728657
1190,UBE2V1P8,-0.011345879780418058,0.25953535682203427,0.6522975093056717
1191,CTPS1,-0.07178280809795916,0.19183544059994911,0.5689200550430478
1192,SLFNL1-AS1,-0.041928509153150315,0.6226650007043861,0.888345164470243
1193,SLFNL1,0.14752353954705186,0.10740180185491126,0.44012003954836476
1194,SCMH1,-0.06476389074933728,0.25281620208106936,0.6432441058723511
1195,RPL23AP17,-0.0044434342403488845,0.8694014598740089,1.0
1196,RP11-399E6.1,-0.13153494836884652,0.02223886342362577,0.18306152473199308
1197,RP11-399E6.2,-0.004768651645780423,0.6301927824024273,0.8925074422630376
1198,FOXO6,0.04780516766793909,0.6351619931630065,0.8951981886369579
1199,RP11-399E6.4,0.014179717187087576,0.7132027524340716,0.9347754535629421
1200,RNA5SP45,0.0,,1.0
1201,EDN2,-0.07828768491621067,0.3425634645568494,0.7252190893507396
1202,HIVEP3,-0.2224366676086009,0.024411350540613126,0.1934200941528522
1203,RP11-486B10.3,0.005912638391709208,0.6789405444877952,0.9178384272552601
1204,RP11-486B10.4,-0.1337424258293033,0.2195590712258312,0.608187985404941
